x,Curve1,Curve2
-0.01331,0.01341,
0.00069,1.10245,
1.5879,,-0.0053
1.59469,,0.00804
1.6415,,-0.00548
1.7621,,-0.00589
1.93631,,-0.00647
2.07701,,-0.00694
2.23124,,0.01259
2.39204,,0.01205
2.52604,,0.01161
2.53953,,0.02492
2.59979,,0.01804
2.65374,,0.07131
2.67483,,0.21824
2.73009,,0.46527
2.80647,,0.8659
2.81496,,1.13313
2.82997,,1.37362
2.85825,,1.59401
2.89975,,1.78764
2.95438,,1.94113
3.04237,,2.07447
3.20429,,2.24097
3.40003,,2.45412
3.61582,,2.66053
3.89928,,2.96693
