x,Curve1
2.054852,0.580047
2.054856,0.580584
2.064416,0.575306
2.066364,0.576378
2.071733,0.573201
2.073673,0.573037
2.074326,0.57395
2.078188,0.571043
2.078928,0.568947
2.090102,0.563183
2.09011,0.564311
2.09312,0.563072
