x,Curve1,Curve2
0.19688,,-0.02667
0.3085,,0.00533
0.41487,,0.01067
0.49993,,0.02667
0.50338,0.73067,
0.59563,,0.04267
0.69662,,0.06933
0.79757,,0.112
0.89322,,0.14933
0.98543,1.47733,
0.99407,,0.22933
1.09492,,0.30933
1.20094,,0.448
1.29627,,0.60267
1.39149,,0.8
1.48339,2.24533,
1.4919,,1.04533
1.72433,,1.65333
1.9601,3.00267,
2.00989,,2.28267
2.23193,,2.79467
2.45275,3.76533,
2.46465,,3.29067
2.95609,4.512,
2.95692,,4.19733
