x,Curve1
1.947,9.019
4.1645,9.802
6.2653,13.075
8.3653,15.39
10.4238,15.214
12.4805,12.931
14.5775,11.414
16.674,9.323
18.6529,8.572
20.7124,9.737
21.1906,13.764
21.3957,22.769
21.7261,40.013
21.9043,65.11
22.2835,94.04
22.5652,99.79
22.9211,99.409
23.1009,76.422
23.351,42.325
23.4963,25.851
23.9218,13.21
25.2259,10.347
26.2155,10.163
26.9668,9.019
27.9938,6.153
29.0619,5.204
30.1702,5.02
31.1986,3.879
32.1877,3.12
33.217,3.128
34.3651,3.137
35.4334,2.379
36.3438,2.194
37.4533,3.544
38.4022,2.018
39.5501,1.836
41.7278,2.235
43.7072,2.251
44.7795,6.473
45.2689,24.676
45.7963,40.772
46.3178,49.397
46.8252,40.206
47.3259,22.585
47.8314,11.094
48.8936,2.674
49.9216,0.957
52.0988,0.782
