theta,mod1,mod2,mod3
0,0.11590428571628793,0.11590428571628793,0.11590428571628793
1,0.11350869996653197,0.11591945030706308,0.11842588515787882
2,0.1112316200769228,0.11596496131686858,0.12108158486433115
3,0.1090660770460181,0.11604087049670972,0.12388009093140291
4,0.10700560227064175,0.11614726422690695,0.1268307697089846
5,0.10504419097494416,0.11628426371039871,0.12994368713776056
6,0.10317626771867267,0.11645202524403396,0.1332296447715791
7,0.10139665408600924,0.11665074056851789,0.13670020979188122
8,0.09970053857429816,0.11688063729785922,0.14036773528347954
9,0.09808344864559773,0.11714197942934422,0.14424536565891646
10,0.09654122486642135,0.11743506793523538,0.1483470202871929
11,0.09506999703717414,0.11776024143755419,0.15268734597139003
12,0.0936661621988462,0.11811787696745955,0.15728162576964777
13,0.09232636439765901,0.11850839081087156,0.16214562757873896
14,0.09104747608649211,0.11893223944211015,0.16729537069364017
15,0.08982658104348691,0.11938992054741647,0.1727467820179592
16,0.08866095869211198,0.11988197414029944,0.17851520557744444
17,0.08754806971233607,0.12040898377068732,0.18461471947123415
18,0.0864855428388067,0.12097157782986745,0.19105720367098017
19,0.08547116274862912,0.1215704309531483,0.19785109099625703
20,0.08450285894819351,0.12220626552207271,0.2049997239790165
21,0.08357869557528277,0.12287985326783468,0.2124992355783337
22,0.08269686203928053,0.12359201697729097,0.22033587758837736
23,0.08185566442858619,0.1243436323025926,0.22848274612884872
24,0.08105351762028387,0.1251356296749743,0.23689591176222066
25,0.08028893803267156,0.12596899632260283,0.2455100690387588
26,0.07956053696642518,0.12684477839156977,0.2542339938561534
27,0.07886701448495458,0.12776408316808616,0.2629463474970413
28,0.07820715378891273,0.1287280813986548,0.2714926832820898
29,0.07757981604386383,0.12973800970340804,0.2796848431962344
30,0.0769839356238221,0.13079517307585195,0.2873041615523862
31,0.07641851573675836,0.13190094745987507,0.29410983586259154
32,0.07588262440126615,0.13305678239198873,0.29985326871443146
33,0.07537539074639782,0.13426420369326242,0.3042979992005255
34,0.07489600160925329,0.13552481619119078,0.30724314714164164
35,0.07444369840724568,0.13684030644664488,0.308546574992643
36,0.07401777426410307,0.1382124454549608,0.30814300472453277
37,0.07361757137060995,0.13964309128291716,0.3060528056438903
38,0.07324247856286618,0.1411341915946311,0.30237922102252035
39,0.07289192910245826,0.1426877860090099,0.29729474824628815
40,0.0725653986444164,0.14430600821902548,0.2910200425228876
41,0.07226240338018114,0.1459910877883953,0.2838000603253681
42,0.07198249834404132,0.14774535152384613,0.2758818948287795
43,0.07172527587263924,0.14957122430054584,0.2674973312875035
44,0.07149036420818355,0.1514712291939779,0.25885135862278624
45,0.07127742623696968,0.1534479867428958,0.250116381556612
46,0.07108615835569812,0.1555042131343355,0.24143099309867527
47,0.0709162894589027,0.1576427170622155,0.23290187089397313
48,0.07076758004156719,0.1598663949649449,0.22460746562755818
49,0.07063982141172404,0.16217822429376952,0.21660244641293175
50,0.07053283500850022,0.1645812544012914,0.20892220288097685
51,0.07044647182170768,0.1670785945676809,0.20158699276996764
52,0.0703806119096762,0.16967339859951308,0.1946055376472089
53,0.0703351640125989,0.1723688453419575,0.18797800975591566
54,0.07031006525920999,0.17516811433845947,0.18169843489042548
55,0.07030528096514689,0.1780743557526181,0.17575657712547277
56,0.07032080452186544,0.18109065353481157,0.17013938613996105
57,0.070356657375487,0.18421998067216763,0.1648320878413346
58,0.07041288909545881,0.18746514520692079,0.15981899139977537
59,0.07048957753341176,0.1908287255489683,0.15508407518429712
60,0.07058682907310564,0.19431299344995467,0.15061140302342182
61,0.07070477897286474,0.19791982285820503,0.1463854119934706
62,0.07084359180243152,0.20165058275047898,0.14239110411148537
63,0.07100346197670643,0.20550601195772816,0.13861416699919654
64,0.07118461438940327,0.20948607399498007,0.13504104269736417
65,0.07138730515023614,0.21358979000619885,0.1316589591628901
66,0.0716118224298703,0.21781504819001055,0.1284559353665767
67,0.07185848741752182,0.22215838853987796,0.12542076812911912
68,0.07212765539678481,0.22661476248328222,0.12254300671290591
69,0.07241971694600574,0.23117726812071515,0.11981291958210272
70,0.07273509927032054,0.2358368633367665,0.11722145653555066
71,0.07307426767332571,0.24058206117304548,0.11476020851287033
72,0.07343772717728149,0.24539861459520995,0.1124213667009305
73,0.0738260243017483,0.25026920120195784,0.11019768206920574
74,0.07423974901164801,0.25517312250154844,0.10808242609538407
75,0.07467953684692936,0.26008603701515415,0.10606935317403489
76,0.07514607124731311,0.2649797514113844,0.10415266500633126
77,0.07564008608700841,0.26982209870465285,0.10232697712892669
78,0.07616236843584234,0.2745769366138785,0.100587287640975
79,0.0767137615649428,0.2792043015982285,0.09892894811931179
80,0.07729516821697645,0.2836607537872932,0.09734763666503085
81,0.07790755416298674,0.2878999438359992,0.09583933299412882
82,0.07855195207011946,0.29187342359132146,0.09440029546610983
83,0.07922946570698208,0.2955317076718723,0.09302703993413611
84,0.0799412745160862,0.29882557266918547,0.09171632029602604
85,0.08068863858578074,0.30170755577086356,0.09046511062531175
86,0.0814729040573318,0.3041335875313512,0.0892705887643567
87,0.08229550900635547,0.3060646678419328,0.08813012126619862
88,0.08315798984169336,0.3074684742566968,0.08704124957763139
89,0.08406198826905194,0.3083207821315701,0.08600167736254286
90,0.08500925887132982,0.30860657994944335,0.08500925887132982
