x,M1,M2,M3
0.0,NaN,NaN,NaN
0.01,0.03249844389221579,0.07582543138163089,0.13647501556055985
0.02,0.06498755355034191,0.1516034785283349,0.2728002787707897
0.03,0.09745800679586125,0.2272868943945472,0.40882680683958306
0.04,0.1299005055273117,0.3028287054388823,0.5444071473926746
0.05,0.16230578767341797,0.3781823462004219,0.6793961220976543
0.06,0.19466463904435294,0.45330179129049686,0.8136515448593329
0.07,0.22696790504787767,0.5281416839829012,0.9470349068789172
0.08,0.2592065022377943,0.6026574606221358,1.079412021500337
0.09,0.2913714296630756,0.6768054701144899,1.2106536225203421
0.1,0.3234537799867523,0.7505430878188601,1.3406359104923156
0.11,0.3554447503450744,0.8238288232132329,1.4692410424855828
0.12,0.38733565291842087,0.8966224207769535,1.5963575617456618
0.13,0.41911792518697055,0.9688849535980482,1.7218807647122603
0.14,0.4507831398455071,1.0405789092870066,1.8457130038650111
0.15,0.4823230143534212,1.1116682678535583,1.9677639258594508
0.16,0.5137294200976128,1.1821185712789395,2.087950645364595
0.17,0.544994391147696,1.2518969845928174,2.2061978559009034
0.18,0.5761101325848523,1.3209723483396618,2.322437879786533
0.19,0.6070690283875004,1.3893152223935368,2.436610660018355
0.2,0.6378636488588412,1.4568979211516353,2.5486636975328327
0.21,0.668486757583445,1.5236945402050772,2.6585519378050115
0.22,0.6989313179018928,1.58968097464943,2.7662376111485454
0.23,0.7291904988945213,1.6548349292566544,2.871690031377402
0.24,0.7592576808673654,1.719135920784275,2.974885357683024
0.25,0.7891264603353139,1.782565272745954,3.075806324675783
0.26,0.8187906544994277,1.845106103010381,3.174441945543626
0.27,0.8482443052173494,1.9067433046316018,3.2707871932032657
0.28,0.8774816824675118,1.9674635203446833,3.3648426641699998
0.29,0.9064972873097563,2.0272551111846093,3.4566142296619855
0.3,0.9352858543465903,2.086108119704777,3.5461126781945485
0.31,0.9638423536911147,2.144014228284019,3.6333533536203464
0.32,0.9921619924491267,2.2009667130180444,3.718355792242529
0.33,1.0202402157244734,2.2569603936931415,3.8011433622801647
0.34,1.0480727071581046,2.3119915803369695,3.8817429086064363
