x,Curve1
2.3992,1.8496
2.6494,2.4666
3.2096,3.9942
4.5562,11.7371
4.9655,14.157
5.5562,19.653
6.2175,26.209
7.0026,39.961
8.0458,58.528
9.1241,74.475
10.0751,102.016
11.4997,146.44
13.042,180.21
14.597,204.63
16.776,238.67
18.658,214.38
20.079,150.3
22.948,78.469
25.538,42.082
32.915,11.6252
41.839,5.202
47.479,3.8218
59.14,2.2964
80.304,1.3432
