theta,Curve1
84.104,0.55426
84.104,0.44443
90.983,0.91654
90.983,0.83254
98.823,0.56814
98.823,0.81043
106.662,0.3005
106.982,0.32314
113.862,0
116.102,0
116.102,0.09436
125.221,0.91227
125.221,0.94134
136.261,0.65776
136.261,0.98405
136.261,1.65602
136.261,2.04692
